Input,Output
"Sneezing, runny nose, mild sore throat, light cough, low energy.","Condition: Common Cold
Guidance: The symptoms are commonly associated with common cold. Next steps are to rest, stay hypdrated, and monitor your symptoms. Consider taking over-the-counter medications. Safety note: This is not a diagnosis. Please consult a healthcare professional if symptoms worsen or persist."
"Stuffy nose, mild headache, scratchy throat, no fever.","Condition: Common Cold
Guidance: The symptoms are commonly associated with common cold. Next steps are to rest, stay hypdrated, and monitor your symptoms. Consider taking over-the-counter medications. Safety note: This is not a diagnosis. Please consult a healthcare professional if symptoms worsen or persist."
"Runny nose and occasional cough for two days, no major discomfort.","Condition: Common Cold
Guidance: The symptoms are commonly associated with common cold. Next steps are to rest, stay hypdrated, and monitor your symptoms. Consider taking over-the-counter medications. Safety note: This is not a diagnosis. Please consult a healthcare professional if symptoms worsen or persist."
Sneezing frequently with mild congestion but otherwise okay.,"Condition: Common Cold
Guidance: The symptoms are commonly associated with common cold. Next steps are to rest, stay hypdrated, and monitor your symptoms. Consider taking over-the-counter medications. Safety note: This is not a diagnosis. Please consult a healthcare professional if symptoms worsen or persist."
Mild throat irritation and clear nasal drainage started slowly.,"Condition: Common Cold
Guidance: The symptoms are commonly associated with common cold. Next steps are to rest, stay hypdrated, and monitor your symptoms. Consider taking over-the-counter medications. Safety note: This is not a diagnosis. Please consult a healthcare professional if symptoms worsen or persist."
"High fever, chills, intense body aches, and dry cough.","Condition: Flu
Guidance: The symptoms are commonly associated with flu. Next steps are to rest, drink plenty of fluids, and manage fever/body aches with OTC medications. High-risk individuals should consider contacting a provider regarding antivirals. Safety note: This is not a diagnosis. Please consult a healthcare professional if symptoms worsen or persist."
"Sudden fatigue, fever, muscle soreness, and headaches.","Condition: Flu
Guidance: The symptoms are commonly associated with flu. Next steps are to rest, drink plenty of fluids, and manage fever/body aches with OTC medications. High-risk individuals should consider contacting a provider regarding antivirals. Safety note: This is not a diagnosis. Please consult a healthcare professional if symptoms worsen or persist."
"Chills, strong body aches, and deep cough that started quickly.","Condition: Flu
Guidance: The symptoms are commonly associated with flu. Next steps are to rest, drink plenty of fluids, and manage fever/body aches with OTC medications. High-risk individuals should consider contacting a provider regarding antivirals. Safety note: This is not a diagnosis. Please consult a healthcare professional if symptoms worsen or persist."
"Fever, exhaustion, coughing, and joint pain.","Condition: Flu
Guidance: The symptoms are commonly associated with flu. Next steps are to rest, drink plenty of fluids, and manage fever/body aches with OTC medications. High-risk individuals should consider contacting a provider regarding antivirals. Safety note: This is not a diagnosis. Please consult a healthcare professional if symptoms worsen or persist."
"Rapid onset of fatigue, fever, and persistent cough.","Condition: Flu
Guidance: The symptoms are commonly associated with flu. Next steps are to rest, drink plenty of fluids, and manage fever/body aches with OTC medications. High-risk individuals should consider contacting a provider regarding antivirals. Safety note: This is not a diagnosis. Please consult a healthcare professional if symptoms worsen or persist."
Loss of taste and smell with mild cough and congestion.,"Condition: Covid-19
Guidance: The symptoms are commonly associated with Covid-19. Next steps are to take a COVID test, isolate until results are known, rest, stay hydrated, and use OTC medications. Seek care sooner if breathing issues arise. Safety note: This is not a diagnosis. Please consult a healthcare professional if symptoms worsen or persist."
"Dry cough, fever, fatigue, and recent exposure to someone sick.","Condition: Covid-19
Guidance: The symptoms are commonly associated with Covid-19. Next steps are to take a COVID test, isolate until results are known, rest, stay hydrated, and use OTC medications. Seek care sooner if breathing issues arise. Safety note: This is not a diagnosis. Please consult a healthcare professional if symptoms worsen or persist."
"Headache, sore throat, and reduced sense of smell.","Condition: Covid-19
Guidance: The symptoms are commonly associated with Covid-19. Next steps are to take a COVID test, isolate until results are known, rest, stay hydrated, and use OTC medications. Seek care sooner if breathing issues arise. Safety note: This is not a diagnosis. Please consult a healthcare professional if symptoms worsen or persist."
"Mild fever, cough, and difficulty tasting food.","Condition: Covid-19
Guidance: The symptoms are commonly associated with Covid-19. Next steps are to take a COVID test, isolate until results are known, rest, stay hydrated, and use OTC medications. Seek care sooner if breathing issues arise. Safety note: This is not a diagnosis. Please consult a healthcare professional if symptoms worsen or persist."
"Congestion, fatigue, and sudden loss of smell.","Condition: Covid-19
Guidance: The symptoms are commonly associated with Covid-19. Next steps are to take a COVID test, isolate until results are known, rest, stay hydrated, and use OTC medications. Seek care sooner if breathing issues arise. Safety note: This is not a diagnosis. Please consult a healthcare professional if symptoms worsen or persist."
Persistent productive cough and chest tightness.,"Condition: Bronchitis
Guidance: The symptoms are commonly associated with bronchitis. Next steps are to rest, drink warm fluids, and consider using a humidifier. Seek medical care if breathing worsens or cough persists. Safety note: This is not a diagnosis. Please consult a healthcare professional if symptoms worsen or persist."
Deep cough with mucus and mild wheezing.,"Condition: Bronchitis
Guidance: The symptoms are commonly associated with bronchitis. Next steps are to rest, drink warm fluids, and consider using a humidifier. Seek medical care if breathing worsens or cough persists. Safety note: This is not a diagnosis. Please consult a healthcare professional if symptoms worsen or persist."
Chest congestion and long-lasting cough after a cold.,"Condition: Bronchitis
Guidance: The symptoms are commonly associated with bronchitis. Next steps are to rest, drink warm fluids, and consider using a humidifier. Seek medical care if breathing worsens or cough persists. Safety note: This is not a diagnosis. Please consult a healthcare professional if symptoms worsen or persist."
Mucus-heavy cough and mild shortness of breath.,"Condition: Bronchitis
Guidance: The symptoms are commonly associated with bronchitis. Next steps are to rest, drink warm fluids, and consider using a humidifier. Seek medical care if breathing worsens or cough persists. Safety note: This is not a diagnosis. Please consult a healthcare professional if symptoms worsen or persist."
Harsh cough that started after being sick for a week.,"Condition: Bronchitis
Guidance: The symptoms are commonly associated with bronchitis. Next steps are to rest, drink warm fluids, and consider using a humidifier. Seek medical care if breathing worsens or cough persists. Safety note: This is not a diagnosis. Please consult a healthcare professional if symptoms worsen or persist."
